Iteration,Day,Voltage,Power,Current,Wattage,Energy Usage,Daily Operating Cost,Total Wattage,Total Energy Usage,Total Daily Operating Cost
1,6,232.30,22.30,0.18,42.98,0.18,4.27,42.98,0.18,4.27
2,6,231.90,21.30,0.17,40.58,0.17,4.03,83.56,0.35,8.30
3,6,231.90,21.70,0.17,40.58,0.17,4.03,124.14,0.51,12.33
4,6,232.30,21.30,0.17,40.42,0.17,4.02,164.56,0.68,16.35
5,6,232.30,22.90,0.18,40.88,0.17,4.06,205.45,0.85,20.41
6,6,232.80,22.60,0.19,43.53,0.18,4.33,248.98,1.03,24.74
7,6,232.80,21.10,0.19,44.23,0.18,4.39,293.21,1.21,29.13
8,6,232.80,21.60,0.18,40.97,0.17,4.07,334.18,1.38,33.20
9,6,232.80,26.90,0.22,50.28,0.21,5.00,384.47,1.59,38.20
10,6,233.20,21.10,0.17,40.58,0.17,4.03,425.05,1.76,42.23
11,6,233.20,20.20,0.18,41.51,0.17,4.12,466.56,1.93,46.36
12,6,232.80,22.10,0.19,43.77,0.18,4.35,510.32,2.11,50.71
13,6,232.80,20.30,0.17,39.58,0.16,3.93,549.90,2.28,54.64
14,6,233.20,22.80,0.18,43.14,0.18,4.29,593.04,2.46,58.92
15,6,233.20,20.40,0.17,39.88,0.17,3.96,632.92,2.62,62.89
16,6,233.20,20.80,0.18,41.04,0.17,4.08,673.96,2.79,66.96
