Iteration,Day,Voltage,Power,Current,Wattage,Energy Usage,Daily Operating Cost,Total Wattage,Total Energy Usage,Total Daily Operating Cost
1,5,231.00,36.40,0.25,58.21,0.24,5.78,58.21,0.24,5.78
2,5,232.30,34.30,0.25,58.54,0.24,5.82,116.75,0.48,11.60
3,5,232.30,36.90,0.29,67.60,0.28,6.72,184.35,0.76,18.32
4,5,232.30,23.80,0.18,41.81,0.17,4.15,226.16,0.94,22.47
5,5,232.30,23.20,0.18,42.28,0.18,4.20,268.44,1.11,26.67
6,5,232.30,22.40,0.19,44.37,0.18,4.41,312.81,1.30,31.08
7,5,232.30,24.70,0.20,45.76,0.19,4.55,358.58,1.48,35.63
8,5,232.30,24.80,0.20,46.23,0.19,4.59,404.80,1.68,40.22
9,5,232.30,22.80,0.20,46.69,0.19,4.64,451.50,1.87,44.86
10,5,231.90,23.00,0.20,45.68,0.19,4.54,497.18,2.06,49.40
11,5,231.90,22.60,0.19,43.37,0.18,4.31,540.55,2.24,53.71
12,5,232.80,21.60,0.18,41.44,0.17,4.12,581.98,2.41,57.83
13,5,232.80,21.80,0.18,42.37,0.18,4.21,624.35,2.58,62.04
14,5,232.80,22.80,0.18,42.37,0.18,4.21,666.72,2.76,66.25
15,5,232.80,22.40,0.18,40.97,0.17,4.07,707.70,2.93,70.32
16,5,232.80,21.80,0.18,41.44,0.17,4.12,749.13,3.10,74.43
